handle;titel;merk;type;geen_seo_titel;geen_meta_description;seo_titel_len;woorden_beschrijving;afbeeldingen;afb_zonder_alt;niet_in_publieke_collectie;voorraad_0;handle_kopie_suffix;url
tijd-voor-thee-lieve-zus;Tijd voor thee - lieve zus;Natural Flower Cards;;ja;ja;;20;2;;;;;https://tanterie.nl/products/tijd-voor-thee-lieve-zus
tijd-voor-thee-nieuw-huis;Tijd voor thee - nieuw huis;Natural Flower Cards;;ja;ja;;25;1;;;ja;;https://tanterie.nl/products/tijd-voor-thee-nieuw-huis
tijd-voor-thee-veel-liefs;Tijd voor thee - veel liefs;Natural Flower Cards;;ja;ja;;18;1;;;ja;;https://tanterie.nl/products/tijd-voor-thee-veel-liefs
pineut-cake-pouchbag-lemon-poppy-cake;Pineut Cake | Pouchbag | Lemon Poppy Cake;Pineut;;ja;ja;;94;2;2;;;;https://tanterie.nl/products/pineut-cake-pouchbag-lemon-poppy-cake
pineut-cake-pouchbag-lemon-poppy-cake-kopie;Pineut Cake | Jar | Passionfruit Martini Cake;Pineut;;ja;ja;;131;1;1;;;ja;https://tanterie.nl/products/pineut-cake-pouchbag-lemon-poppy-cake-kopie
pineut-watertwist-carafe-citrus-mint-verbena-kopie;Pineut Watertwist | Carafe | Sangria Red Wine BIO;Pineut;;;;57;137;2;;;;ja;https://tanterie.nl/products/pineut-watertwist-carafe-citrus-mint-verbena-kopie
pineut-watertwist-carafe-iced-tea-mango-green-tea-kopie;Pineut Cocktail | Bottle | Limoncello BIO;Pineut;;;;53;158;1;;;;ja;https://tanterie.nl/products/pineut-watertwist-carafe-iced-tea-mango-green-tea-kopie
pineut-watertwist-carafe-sangria-red-wine-bio-kopie;Pineut Watertwist | Carafe | Iced Tea Mango Green Tea;Pineut;;;;55;110;2;;;;ja;https://tanterie.nl/products/pineut-watertwist-carafe-sangria-red-wine-bio-kopie
pineut-watertwist-carafe-strawberry-hibiscus-kopie;Pineut Watertwist | Carafe | Citrus Mint Verbena;Pineut;;;;60;114;2;;;;ja;https://tanterie.nl/products/pineut-watertwist-carafe-strawberry-hibiscus-kopie
theeblik-100-gram-sanderson-chinoiserie-hall;Theeblik 100 gram Sanderson Chinoiserie Hall;Sanderson;Theeblik;ja;ja;;65;1;;;;;https://tanterie.nl/products/theeblik-100-gram-sanderson-chinoiserie-hall
theeblik-100-gram-sara-miller-chelsea-roze;Theeblik 100 gram Sara Miller Chelsea - Roze;Sara Miller London;Theeblik;ja;ja;;59;1;;;;;https://tanterie.nl/products/theeblik-100-gram-sara-miller-chelsea-roze
